post_id,post_text,rationale_count,annotator_1_label,annotator_1_target,annotator_2_label,annotator_2_target,annotator_3_label,annotator_3_target,label
18706002_gab,canada refugee board abruptly changes its scheduling system amid surging backlog,0,normal,Refugee,normal,,normal,Refugee,normal
12664033_gab,no need to dox i read an article that west point has already opened an investigation into this dumbassery he fucked up big time making sich a retarded political statement while in uniform i reckon the only place left for him to go will be starbucks,2,normal,,offensive,,offensive,Other,offensive
27439326_gab,because the sheboon wants violence so race jealous can not control violent impulses,3,hatespeech,"African, Women",offensive,African,offensive,African,offensive
15836567_gab,ancient made up european gods and ancient made up kike gods are the exact same thing if you are not worshiping actual god you are worshipping someone else that someone else is satan does not matter if you call him moloch odin or your ancestor spirit different names same being,3,hatespeech,Jewish,offensive,Jewish,offensive,Jewish,offensive
1179099484837629952_twitter,my n-word like a white girl in a scary movie they be trippin for nothin,0,normal,,normal,,normal,,normal
1121601667999440901_twitter,that shit was not relevant at all white people lame,2,offensive,Caucasian,hatespeech,Caucasian,offensive,Hispanic,offensive
19952264_gab,everytime groid prez obeezy opened his mouth white americans bought guns ammo accessories most polarizing president ever obama claimed he d be bringing ppl together that meant black not ppl unifying not multicultural kumbaya and coca cola,0,normal,,normal,,normal,,normal
25172639_gab,and congress went along with everything the muzrat traitors wanted,3,hatespeech,Islam,offensive,,hatespeech,Islam,hatespeech
20628266_gab,typical sand n-word they are terrorists posing as refugees,2,hatespeech,"Arab, Refugee",hatespeech,Arab,hatespeech,Arab,hatespeech
3243172_gab,my moms friend says i should b more kind <number> the filthy jews so im gonna start calling them grimey jews since im filled with christ love on the christmas holiday even tho the fucking jews murdered jesus who was white,2,hatespeech,Jewish,hatespeech,"Christian, Jewish",hatespeech,Jewish,hatespeech
1179082934357118976_twitter,it is in <number> liberal nazi government party that lit forest fires and cut down toten poles when we left when a guy with hare lip lit forest fires continuously and raped and murdered children left behind and canibalism in <number> on vancouver island tlingiit territory recorded in our,0,normal,,normal,,normal,,normal
19350480_gab,it certainly fugly enough to be a kike bitch,3,hatespeech,"Women, Jewish",hatespeech,"Women, Jewish",hatespeech,Jewish,hatespeech
17188770_gab,i found a hasbara kike everyone,3,hatespeech,Jewish,hatespeech,Islam,hatespeech,Jewish,hatespeech
2704909_gab,big smile on my face when i think about all the college snowflakes who were so close to banning free speech persecuting white males for being white and male popularizing feminism lesbianism and forwarding the end of times how suddenly shitty their lives must be speakfreely maga gab,2,offensive,"Homosexual, Women",offensive,"Homosexual, Other",offensive,Men,offensive
8738595_gab,anyone that says this is normal or it just their religion is your enemy and should be treated as such muslims treat their children and women worse than garbage by rape molestation murder child marriages beatings acid attacks and fgm under sharia this could be your children islam,2,offensive,Islam,normal,,offensive,Islam,offensive
26867693_gab,pretends to have nothing to do with muslim mass migration,0,offensive,"Islam, Refugee",normal,,hatespeech,"Islam, Jewish",offensive
1105440603674955777_twitter,i just want blackpink out of that company,0,normal,,normal,,normal,,normal
25597752_gab,i think our president is brilliant why are women such brainlets,2,offensive,Women,offensive,Women,hatespeech,Women,offensive
1178739480381050882_twitter,now that i have blocked the close minded people i will explain why i have this belief with regards to the hijab and niqab islam came to 7 th century arabia because of how uncivilised they were nothing changed in most arab countries excluding the uae,2,offensive,"Arab, Islam",offensive,Islam,normal,,offensive
25638733_gab,do not like trump and his kike connection,3,hatespeech,Other,hatespeech,Jewish,hatespeech,Jewish,hatespeech
11984565_gab,also jews always project their mentality onto their opponents before they attack them and so far your group is the only group who is doing the projection,2,normal,Jewish,offensive,Jewish,offensive,Jewish,offensive
